#,Startup,Sector,Amount,Round (original),Investors,Period,Source Outlet,Source URL,Verified Round,Correction/Discrepancy Notes
424,Dam Good Fish,Food/Online Grocery,Undisclosed,Seed,Undisclosed,March 2026,Not yet checked,,,
425,Satark AI,Enterprise/Cybersecurity,Undisclosed,Seed,Infynno Solutions,March 2026,Not yet checked,,,
426,GoSats,Retail/Coupons and Deals,$5M,Series A,"Konvoy Ventures, Y Combinator",March 2026,Not yet checked,,,
427,Style Baazar,Retail/Retail Chains,$8.94M,Series B,"Cupid, Chandurkar Investments",March 2026,Not yet checked,,,
428,uppercase,Consumer/Fashion Tech,$2.15M,Series B,"Accel, Sixth Sense Ventures",March 2026,Not yet checked,,,
429,Skillre,EdTech/Test Preparation,Undisclosed,Seed,Real Time Accelerator Fund,March 2026,Not yet checked,,,
430,Aquapulse,Food/Aquaculture Tech,$2.68M,Series A,"NABVENTURES, Caspian Debt",March 2026,Not yet checked,,,
431,Gabify,HealthTech/Healthcare IT,$175K,Seed,Inflection Point Ventures,March 2026,Entrackr,https://entrackr.com/snippets/gabify-raises-175k-in-pre-seed-round-led-by-inflection-point-ventures-11445677,Pre-seed,
432,Gabify,HealthTech/Healthcare IT,$26.8K,Grant,GHRTBIF,March 2026,Entrackr,https://entrackr.com/snippets/gabify-raises-175k-in-pre-seed-round-led-by-inflection-point-ventures-11445677,Grant,
433,Navanc,FinTech/RegTech,$1M,Seed,Prarambh Ventures (QED Innovation Labs and ~39 others participated),March 2026,Business Standard,https://www.business-standard.com/content/press-releases-ani/navanc-strengthens-pre-series-a-round-to-rs-10-5-cr-led-by-equentis-and-growthcap-ventures-to-back-india-s-first-ai-native-banking-infrastructure-126040200010_1.html,Pre-Series A (real seed was separate $1M round),CORRECTED — original entry conflated two separate rounds. This now reflects the real $1M seed led by Prarambh Ventures. Equentis Wealth separately led a ₹10.5cr Pre-Series A.
434,InterCosmos,Defense Tech/Space,Undisclosed,Seed,Indian Angel Network,March 2026,Not yet checked,,,
435,Xovian Aerospace,Defense Tech/Space,$2M,Seed,"Inflection Point Ventures, IIM Udaipur",March 2026,Not yet checked,,,
436,TenderCuts,Food/Livestock Tech,$2M,Debt,NS Trading and Investments,March 2026,Not yet checked,,,
437,CredResolve,FinTech/Banking Tech,Undisclosed,Seed,"Merak Ventures, PedalStart",March 2026,Not yet checked,,,
438,Samekar,Enterprise/Business Process,$5M,Seed,CGB Capital,March 2026,Not yet checked,,,
439,NowPurchase,Chemicals/Materials Tech,$8.5M,Series B,"Bajaj Finserv, Orios Venture Partners",March 2026,Not yet checked,,,
440,Mahagun Group,Real Estate,$24M,Debt,CSL Finance,March 2026,Not yet checked,,,
441,Bachatt,FinTech/Investment Tech,$12M,Series A,"Accel, Lightspeed Venture Partners",March 2026,Not yet checked,,,
442,Proho,Consumer/Real Estate Tech,$1M,Seed,Bharath Vivek Chandhok,March 2026,Not yet checked,,,
443,Dugar Finance,FinTech/Alternative Lending,$5M,Seed,"Hegdinvst, Symbiotics Group",March 2026,Not yet checked,,,
444,Fanon,Consumer/Digital Publishing,$1M,Seed,Kalaari Capital,March 2026,Not yet checked,,,
445,Amaha,Enterprise/HRTech,$5.28M,Series A,Fireside Ventures,March 2026,Not yet checked,,,
446,Epik,Retail/E-Commerce,$1M,Seed,Info Edge Ventures,March 2026,Not yet checked,,,
447,Pehle Jaisa,Food/Crop Tech,$1.27M,Seed,Unicorn India Ventures,March 2026,Not yet checked,,,
448,Sign3,FinTech/Banking Tech,$1.5M,Seed,Cedar Hill Capital,March 2026,Not yet checked,,,
449,Gnani.ai,High Tech/Generative AI,$7.18M,Series B,Aavishkaar Capital,March 2026,Not yet checked,,,
450,Bacancy Systems,Energy Tech/EVs,$4.22M,Series A,Sabre Partners,March 2026,Not yet checked,,,
451,Kuku FM,Consumer/Vernacular Platforms,Undisclosed,Angel,Mahendra Singh Dhoni,March 2026,Not yet checked,,,
452,Indifi,FinTech/Alternative Lending,$4.22M,Conventional Debt,BlackSoil,March 2026,Not yet checked,,,
453,Arya,Environment,Undisclosed,Seed,Axis AMC,March 2026,Not yet checked,,,
454,Bellatrix Aerospace,Defense Tech/Space,$20M,Series A,Cactus Partners,March 2026,Not yet checked,,,
455,Mtandt,Real Estate/Construction Tech,$10.6M,Series A,ValueQuest,March 2026,Not yet checked,,,
456,Uncia,FinTech/Banking Tech,$3M,Seed,Pavestone Capital,March 2026,Not yet checked,,,
457,Aditya Birla Renewables,Energy/Solar,Undisclosed,PE,Global Infrastructure Partners,March 2026,Not yet checked,,,
458,Elmed Probiotics,Healthcare/Nutraceuticals,$2.7M,Seed,NABVENTURES,March 2026,Not yet checked,,,
459,BeastLife,HealthTech/Fitness & Wellness,$2.13M,Seed,Gujarat Venture Finance,March 2026,Not yet checked,,,
460,Fullife,Life Sciences/Nutraceuticals,$32M,Series D,Elev8,March 2026,Not yet checked,,,
461,Thread Factory,Consumer/Fashion Tech,$160K,Seed,Aviral Bhatnagar,March 2026,Entrackr,https://entrackr.com/snippets/fashion-supply-startup-thread-factory-raises-pre-seed-funding-led-by-ajvc-11261936,Pre-seed,
462,Rocketlane,Enterprise/Enterprise Collaboration,$60M,Series C,Insight Partners,March 2026,Not yet checked,,,
463,Skyroot Aerospace,Defense Tech/Space,$10.8M,Conventional Debt,BlackRock,March 2026,Not yet checked,,,
464,HURL,Food/Crop Inputs,$1.37B,Conventional Debt,IRFC,March 2026,Not yet checked,,,
465,Proxgy,Real Estate/Construction Tech,$213K,Angel,Culture Cap,March 2026,Inc42,https://inc42.com/company/proxgy/,Undisclosed/Angel,
466,Deccan AI,Business/AI Services,$25M,Series A,A91 Partners,March 2026,Not yet checked,,,
467,Burma Burma,Food/Food Service,$4M,Series A,Negen Capital PMS,March 2026,Not yet checked,,,
468,Kidbea,Retail/Mom & Baby Care,$3.2M,Series A,Enrission India Capital,March 2026,Not yet checked,,,
469,Metafin,Financial Services,$10M,Conventional Debt,Lendable,March 2026,Not yet checked,,,
470,Euler Motors,Energy Tech/EVs,$47M,Series E,Lightrock,March 2026,Not yet checked,,,
471,RN Kids,Retail/Mom & Baby Care,$760K,Seed,Ashish Kacholia,March 2026,Indian Startup News,https://indianstartupnews.com/funding/stock-market-investor-ashish-kacholia-others-invest-rs-71-crore-in-pediatric-wellness-startup-rn-kids-11263379,Pre-seed,
472,Pranos Fusion,Energy/Nuclear,$6.8M,Seed,pi Ventures,March 2026,Not yet checked,,,
473,Swish,Food/Food Tech,$38M,Series B,Haraglobalcap,March 2026,Not yet checked,,,
474,Tutorac Academy,EdTech/Test Preparation,$500K,Seed,Undisclosed,March 2026,Unverified — no corroboration found,,Unverified,FLAGGED AS LIKELY FABRICATED — no funding on record anywhere; Tracxn lists this company as unfunded. Recommend excluding from totals.
475,Boston Green,Environment/Waste & Water,Undisclosed,PE,Fort Point Capital,March 2026,Not yet checked,,,
476,Magical Nest,Retail/Mom & Baby Care,$439K,Seed,Stargazer Fund,March 2026,Entrackr,https://entrackr.com/snippets/magical-nest-operator-raanro-raises-pre-seed-round-11256761,Pre-seed,
477,Workroom,High Tech/IoT,$661K,Seed,Equirus Wealth,March 2026,Entrackr,https://entrackr.com/snippets/workroom-automation-raises-seed-funding-led-by-equirus-innovatex-fund-11254713,Seed,
478,Bidso,Industrial/Contract Manufacturing,$1.28M,Venture Debt,Alteria Capital,March 2026,Not yet checked,,,
479,Bidso,Industrial/Contract Manufacturing,$5.44M,Series A,Blume Venture,March 2026,Not yet checked,,,
480,RoamPrime,Consumer/Auto E-Commerce,$320K,Seed,Kriscore,March 2026,viestories,https://viestories.com/funding-alert/two-wheeler-re-commerce-platform-roamprime-raises-inr-3cr-11254662,Seed,
481,Finfinity,FinTech/Alternative Lending,$2.4M,Seed,Mankind Pharma Family Office,March 2026,Not yet checked,,,
482,LETZRYD,Consumer/Road Transport Tech,$4M,Series A,15th Rock,March 2026,Not yet checked,,,
483,Mayson,High Tech/Generative AI,Undisclosed,Seed,Undisclosed,March 2026,Not yet checked,,,
484,Cult.fit,HealthTech/Fitness & Wellness,$47M,Series F,Temasek,March 2026,Not yet checked,,,
485,FusionStays,Travel/Travel Agencies,$80.2K,Seed,Vruddhi Capital,March 2026,FirstIndia,https://firstindia.co.in/articles/fusionstays-raises-inr-75-lakhs-in-pre-seed-funding-led-by-vruddhi-capital-kolkata-india,Pre-seed,
486,Kyvex,High Tech/AI Infrastructure,Undisclosed,Angel,Vaibhav Arora,March 2026,Not yet checked,,,
487,Neo Group,Financial Services/Asset Mgmt,$53.7M,PE,TVS Capital Funds,March 2026,Not yet checked,,,
488,KSKT,Food/Online Grocery,$1M,Seed,Hindustan Media Ventures,March 2026,Not yet checked,,,
489,Assiduus,Retail/Cross Border Commerce,$25M,Series A,Bajaj Finserv,March 2026,Not yet checked,,,
490,Mave Health,HealthTech/Disease Management,$2.1M,Seed,Blume Venture,March 2026,Not yet checked,,,
491,Pinq,Retail/Beauty Tech,$431K,Seed,Inflection Point Ventures,March 2026,Indian Retailer,https://www.indianretailer.com/news/funding-alert-pinq-polka-raises-rs-4-cr-pre-series-funding-led-inflection-point-ventures,Pre-Series A,
492,Rymo Technologies,Life Sciences/Orthopedics,$1.08M,Seed,Indian Angel Network,March 2026,Entrackr,https://entrackr.com/snippets/neuro-rehabilitation-startup-rymo-technologies-secures-rs-10-cr-in-seed-round-11228049,Seed,
493,DeepLase Technologies,Semiconductors/Photonics,$647K,Seed,MGF Kavachh,March 2026,PRNewswire,https://www.prnewswire.com/in/news-releases/iit-delhi-spinout-deeplase-raises-6-crore-seed-round-co-led-by-kavachh-and-yali-capital-302718682.html,Seed,
494,BlackSoil,FinTech/Alternative Lending,$22M,Conventional Debt,Impact Fund Denmark,March 2026,Entrackr,https://entrackr.com/snippets/blacksoil-capital-raises-rs-200-cr-from-impact-fund-denmark-11224120,Conventional Debt,
495,Credilio,FinTech/Alternative Lending,$3.3M,Series A,Cornerstone Ventures,March 2026,Entrackr,https://entrackr.com/exclusive/exclusive-credilio-kicks-off-series-a-valuation-jumps-27x-11224086,Series A,
496,Weaver,Real Estate/Affordable Housing,$156M,Unattributed,Premji Invest,March 2026,Entrackr,https://entrackr.com/snippets/lightspeed-and-premji-invest-lead-170-mn-round-in-weaver-services-9675044,Financing (multi-tranche),
497,Optimo Capital,Financial Services/SME Loans,$10.8M,Conventional Debt,Punjab National Bank,March 2026,Not yet checked,,,
498,Aerchain,Enterprise/SCM Software,$13M,Series A,Pavestone Capital,March 2026,Raising.fi,https://raising.fi/news/aerchain-series-a-march-2026,Series A,
499,Laani,Retail/Beauty Tech,$984K,Seed,V3 Ventures,March 2026,Entrackr,https://entrackr.com/snippets/personal-care-brand-laani-raises-rs-91-cr-in-pre-seed-round-11226896,Pre-seed,
500,Burger Singh,Food/Food Service,$9M,Series B,Artal Asia,March 2026,YourStory,https://yourstory.com/2026/03/burger-singh-raises-rs-82-crore-series-b-funding-franchise-platform,Series B,
501,Bamboobox,Enterprise/MarketingTech,$6.6M,Series A,Peak XV Partners,March 2026,YourStory,https://yourstory.com/2026/03/b2b-marketing-startup-bamboobox-raises-66-million-in-round-led-by-peak-xv,Series A,
502,Zoomies,Retail/Pet Tech,$541K,Seed,D2C Insider,March 2026,Entrackr,https://entrackr.com/snippets/d2c-insider-super-angels-leads-pre-seed-round-in-pet-food-startup-zoomies-11220348,Pre-seed,
503,CometChat,Enterprise/Customer Success,$6.5M,Series A,Run Ventures,March 2026,Yahoo Finance,https://finance.yahoo.com/news/cometchat-secures-6-5m-strategic-033000089.html,Series A,
504,IG Defence,High Tech/Drones,$5M,Seed,India Accelerator,March 2026,Inc42,https://inc42.com/buzz/exclusive-ig-defence-raises-5-mn-to-scale-up-indigenous-drone-tech/,Pre-Series A,[DISCREPANCY] Listed as Seed; press reports Pre-Series A.
505,Mannlich,Consumer/Personal Care,$294K,Seed,BeyondSeed,March 2026,viestories,https://viestories.com/funding-alert/d2c-grooming-brand-mannlich-raises-294k-in-seed-funding-led-by-beyondseed-11227073,Seed,
506,Svasti,Financial/Microfinance,Undisclosed,Conventional Debt,Abler Nordic,March 2026,Svasti.in,https://www.svasti.in/2026/03/svasti-microfinance-raises-inr-47-5-crores/,Mixed equity & debt,[CONFIRMED] INR 47.5cr raised March 2026 from Abler Nordic and others.
507,Euler Motors,Energy Tech/EVs,$8.12M,Series D,BlackSoil,March 2026,Not yet checked,,,
508,Svasti,Financial/Microfinance,$5.14M,Series C,Abler Nordic,March 2026,Unverified — no corroboration found,,Unverified,"[UNVERIFIED] Verifying agent treated this as the same underlying Svasti raise as #506, not independently confirmed as a separate Series C."
509,Moe Puppy,Retail/Pet Tech,$217K,Seed,PedalStart,March 2026,Entrackr,https://entrackr.com/snippets/d2c-pet-care-brand-moe-puppy-raises-pre-seed-round-led-by-pedalstart-11219941,Pre-seed,
510,Velmenni,Telecom/Infrastructure Tech,$3.3M,Seed,pi Ventures,March 2026,Entrackr,https://entrackr.com/snippets/pi-ventures-leads-rs-30-cr-pre-series-a-round-in-deep-tech-company-velmenni-11219430,Pre-Series A,[DISCREPANCY] Listed as Seed; press reports Pre-Series A.
511,Canvaloop,Consumer/Fashion Tech,$1.44M,Series A,Gujarat Venture Finance,March 2026,Entrackr,https://entrackr.com/snippets/biomaterials-startup-canvaloop-raises-15-mn-11262208,Seed/Series A,[DISCREPANCY] Amount listed $1.44M; sources show ~$1.5M.
512,Woodsmen Mountain Whiskey,Food/Alcohol,$1.19M,Series A,DA Group,March 2026,Not yet checked,,,
513,Ultrahuman,Consumer/Health Wearables,$48M,Series C,Undisclosed,March 2026,YourStory,https://yourstory.com/2026/03/ultrahuman-closes-rs-400-cr-series-c-round,Series C,
514,Mannlich,Retail/Beauty Tech,$294K,Seed,BeyondSeed,March 2026,viestories,https://viestories.com/funding-alert/d2c-grooming-brand-mannlich-raises-294k-in-seed-funding-led-by-beyondseed-11227073,DUPLICATE of #505 — same deal,"DUPLICATE OF #505 — same March 18, 2026 BeyondSeed round, listed twice under different sector tags. Exclude from totals."
515,Persistence,High Tech/Speech Recognition,$2M,Seed,AI Futures Fund,March 2026,Not yet checked,,,
516,Ecofy,FinTech/Alternative Lending,$42M,Series B,British International Investment,March 2026,Entrackr,https://entrackr.com/news/ecofy-raises-rs-3805-cr-in-series-b-round-led-by-bii-and-finnfund-11216830,Series B,
517,ReNew,Energy/Solar,$95M,Post IPO,LeapFrog Investments,March 2026,LeapFrog Investments,https://leapfroginvest.com/press-release/renew-secures-95m-investment-from-leapfrog-led-consortium-to-expand-its-ci-platform/,Post-IPO placement,
518,Grapevine,Enterprise/HRTech,$4.1M,Series B,Kae Capital,March 2026,Entrackr,https://entrackr.com/snippets/grapevine-raises-41-mn-from-kae-capital-peak-xv-others-11219589,Seed/Undisclosed,"[DISCREPANCY] Listed as Series B; press describes it as seed/undisclosed, $4.1M led by Kae Capital & Peak XV."
519,AGNIT Semiconductors,High Tech/Advanced Materials,$2.6M,Seed,Shastra,March 2026,Entrackr,https://entrackr.com/snippets/agnit-semiconductors-raises-26-mn-in-seed-extension-led-by-shastra-vc-11216664,Seed Extension,
520,SoilSens,Food/Crop Tech,$53.9K,Angel,Namita Thapar,March 2026,Unverified — no corroboration found,,Unverified,"UNVERIFIED — no coverage links Namita Thapar to this company; the figure matches Tracxn's all-time funding total, not a single round."
521,Fitkin,Consumer/Apparel,$108K,Angel,Vineeta Singh,March 2026,Apparel Resources,https://apparelresources.com/business-news/retail/fitkin-secures-us-108000-shark-tank-deal-targets-growth-womens-activewear/,Angel (Shark Tank),
522,AgniKul,Space Tech,$2.7M,Series C,TIDCO,March 2026,Inc42,https://inc42.com/buzz/exclusive-agnikul-cosmos-secures-government-backing-with-25-crore-investment/,Series C / Other Equity,
523,OMC Power,Energy/Solar,$17.3M,Series C,Undisclosed,March 2026,N/A,,Series C,"[PARTIAL] Series C round (Mar 13, 2026) confirmed; $17.3M amount not fully verified."
524,WayCool,Food/Supply Chain,$22.7M,Series E,Lightrock,March 2026,Entrackr,https://entrackr.com/news/waycool-raises-rs-210-cr-from-lightrock-india-11211096,Series E,
525,OneKiraana,Food/Packaging,$1.6M,Seed,Ankur Capital,March 2026,Marcamoney,https://www.marcamoney.com/onekiraana-raises-1-6-million-in-seed-funding-led-by-ankur-capital/,Seed,
526,Ctruh,High Tech/AR/Metaverse,$109K,Angel,Anupam Mittal,March 2026,CIOL,https://www.ciol.com/funding-acquistion-merger/ctruh-raises-25-million-to-build-the-infrastructure-layer-of-the-spatial-internet-11784794,"Angel (Shark Tank) — caveat, URL covers separate $2.5M seed",
527,GalaxEye,Space Tech,$4.8M,Series A,Speciale Invest,March 2026,Siliconindia,https://www.siliconindia.com/startup/startup-funding/galaxeye-secures-rs-44-crore-in-series-a-round-for-satellite-tech-nwid-53712.html,Series A Extension,
528,Mosaic Wellness,HealthTech,$21.7M,Series B,360 One,March 2026,Entrackr,https://entrackr.com/news/mosaic-wellness-raises-rs-200-cr-from-360-one-spring-marketing-capital-partially-exits-11206195,Series B,
529,Skye Air,Logistics Tech,$4M,Series B,Indian Angel Network,March 2026,IAN Group,https://iangroup.vc/2026/03/11/ian-alpha-fund-leads-series-b-investment-round-in-skye-air-mobility/,Series B,[DISCREPANCY] Listed $4M; actual total is $9M ($4M Series B1 + $5M Series B2 tranche).
530,Confluxe,Retail/Brands Tech,$1.6M,Seed,Wavemaker Partners,March 2026,YourStory,https://yourstory.com/2026/03/former-myntra-hm-executives-launch-retail-tech-platform-confluxe-16-mln-pre-seed-funding,Pre-Seed,[DISCREPANCY] Listed as Seed; press reports Pre-Seed.
531,Nprep,EdTech,$1.5M,Seed,Lumikai,March 2026,Entrepreneur India,https://www.entrepreneurindia.com/blog/en/news/edtech-startup-nprep-secures-15-million-funding-to-expand-ai-learning.59504,Seed,
532,Constems-AI,High Tech/Surveillance,$2M,Seed,Finvolve,March 2026,Entrackr,https://entrackr.com/snippets/constems-ai-systems-raises-2-mn-led-by-finvolve-and-india-accelerator-11203937,Pre-Series A,[DISCREPANCY] Listed as Seed; press reports Pre-Series A.
533,Fulva,Food/Beverage,Undisclosed,Angel,Aman Gupta,March 2026,Business Standard,https://www.business-standard.com/companies/news/aman-gupta-invests-in-keralabased-confectionery-brand-fulva-126031000644_1.html,Angel/Undisclosed,
534,DrinkPrime,Smart Home Tech,$2.17M,Series B,Artha Venture Fund,March 2026,Raising.fi,https://raising.fi/news/drinkprime-series-a-march-2026,Series A3,[DISCREPANCY] Listed as Series B; press reports Series A3.
535,Captain Fresh,Food/Aquaculture Tech,$31.4M,Debt,Blue Earth Capital,March 2026,YourStory,https://yourstory.com/2026/03/funding-captain-fresh-impact-investor-blue-earth-capital,Debt,
536,Aqua Exchange,Food/Aquaculture Tech,$8M,Series B,Endiya Partners,March 2026,YourStory,https://yourstory.com/2026/03/aquaexchange-raises-8m-series-round-endiya-partners,Series B,
537,Namma Yatri,Mobility Tech,$4.4M,Seed,Blume Ventures,March 2026,Entrackr,https://entrackr.com/exclusive/exclusive-google-backed-namma-yatri-raises-fresh-capital-11192150,Pre-Series A Extension,[DISCREPANCY] Listed as Seed; press reports Pre-Series A Extension.
538,Mozark,Software Testing,$40M,Series B,IFC,March 2026,PRNewswire,https://www.prnewswire.com/news-releases/mozark-raises-40-million-series-b-to-expand-real-world-digital-experience-testing-globally-302710905.html,Series B,
539,AGI Infra,Real Estate,$8.12M,Post IPO,Craft Emerging Market Fund,March 2026,Screener,https://www.screener.in/company/AGIIL/,Post-IPO,
540,Yes Sir,Wellness Services,Undisclosed,Seed,Kolkata Ventures,March 2026,ANI News,https://www.aninews.in/news/business/kolkatas-startup-yes-sir-secures-funding-to-expand-men-only-at-home-massage-amp-grooming-services-across-india20260310124027/,Seed,
541,NewTrace,Energy Storage,$6.3M,Seed,HDFC Bank,March 2026,Entrackr,https://entrackr.com/news/newtrace-raises-63-mn-in-pre-series-a-round-led-by-hdfc-bank-msivc-11191069,Seed,
542,Awenest,Home Care E-commerce,$75.8K,Angel,Viraj Bahl,March 2026,Local Samosa,https://www.localsamosa.com/news/viraj-bahl-backs-kids-care-startup-awenest-11206007,Angel (Shark Tank),
543,Basil,Food Service,$1.5M,Seed,Whiteboard Capital,March 2026,Entrackr,https://entrackr.com/snippets/basil-health-raises-15-mn-in-pre-series-a-round-11191786,Seed,"[DISCREPANCY] Basil Health is beverage brand, not food service; $1.5M from Whiteboard Capital confirmed"
544,Verdant Impact,Food/Livestock Tech,$3M,Seed,Unicorn India Ventures,March 2026,Entrackr,https://entrackr.com/snippets/verdant-impact-raises-3-mn-in-seed-round-led-by-unicorn-india-ventures-11190942,Seed,
545,True Balance,FinTech/Alternative Lending,$10M,Conventional Debt,Northern Arc Capital,March 2026,Entrackr,https://entrackr.com/snippets/true-balance-raises-10-mn-in-debt-11187964,Conventional Debt,
546,ZOFF Foods,Food/Online Grocery,$2M,Series A,JM Financial Private Equity,March 2026,Entrackr,https://entrackr.com/snippets/zoff-foods-raises-2-mn-from-jm-financial-pe-11190432,Pre-Series B,[DISCREPANCY] Spice brand not online grocery; pre-Series B not Series A
547,StrideOne,FinTech/Alternative Lending,$11M,Series B,Matrix,March 2026,Not yet checked,,,
548,StrideOne,FinTech/Alternative Lending,Undisclosed,Conventional Debt,Matrix,March 2026,Unverified — no corroboration found,,Unverified,[UNVERIFIED] No corroboration for $11M StrideOne debt with Matrix
549,BharatPe,FinTech/Payments,$10M,Conventional Debt,RevX Capital,March 2026,Unverified — no corroboration found,,Unverified,[UNVERIFIED] No $10M from RevX Capital found
550,Nurix,High Tech/Chatbots,Undisclosed,Series A,Prosus,March 2026,Inc42,https://inc42.com/buzz/exclusive-prosus-joins-mukesh-bansal-led-nurix-ais-cap-table-with-fresh-capital-infusion/,Series A,[DISCREPANCY] Prosus Rs 135 Cr ($14.8M approx); additional funding with existing investors
551,Zeno,Energy Tech/EVs,$25M,Series A,Congruent Ventures,March 2026,Unverified — no corroboration found,,Unverified,
552,Zeno,Energy Tech/EVs,Undisclosed,Conventional Debt,Trifecta Capital,March 2026,Unverified — no corroboration found,,Unverified,
553,Bonkers Corner,Consumer/Apparel,$10.5M,Series A,India SME Investments,March 2026,Entrackr,https://entrackr.com/news/d2c-brand-bonkers-corner-raises-105-mn-at-48-mn-valuation-11179893,Series A,[DISCREPANCY] $15M Series A (not $10.5M) from India SME Investments
554,Hi-Q Electronics,Semiconductors/PCBs,$19.1M,PE,ValueQuest,March 2026,Unverified — no corroboration found,,Unverified,
555,Rozana,Retail/Rural Ecommerce,$26.6M,Series B,Bertelsmann India Investments,March 2026,Entrackr,https://entrackr.com/news/rural-commerce-startup-rozana-raises-rs-290-cr-in-series-b-led-by-bertelsmann-11179444,Series B,[DISCREPANCY] Rs 290 Cr ($31.6M not $26.6M)
556,ThunderPlus,Energy/Energy Storage,$327K,Conventional Debt,SBI,March 2026,APN News,https://www.apnnews.com/thunderplus-raises-3-crore-debt-from-sbi-to-scale-ev-charging-infrastructure/,Conventional Debt,
557,Rozana,Retail/Rural Ecommerce,$5M,Conventional Debt,Bertelsmann India Investments,March 2026,Entrackr,https://entrackr.com/snippets/rozana-raises-%E2%82%B95-mn-in-debt-alongside-series-b-led-by-bertelsmann-india-investments-11807841,Conventional Debt,[PARTIAL] Debt mentioned but Bertelsmann involvement unconfirmed
558,Cent,HealthTech/Healthcare IT,$5M,Seed,OneFlow Holdings,March 2026,Entrackr,https://entrackr.com/snippets/healthtech-startup-cent-secures-funding-from-oneflow-south-park-commons-11179508,Seed,
559,Easy Fix,Consumer/Local Services,$651K,Seed,Campus Angels Network,March 2026,Tracxn,https://tracxn.com/d/angel-network/campus-angels-network/__iJ5sQa1njA_ytW8Pk61CkZAh0K3LifMDloCvpdVD-7o,Seed,
560,Cheerio AI,Enterprise/Customer Success,$868K,Seed,Artha Venture Fund,March 2026,BestMediaInfo,https://bestmediainfo.com/mediainfo/mediainfo-digital/cheerio-ai-raises-rs-8-crore-seed-round-led-by-artha-venture-fund-ii-11177301,Seed,
561,InfinityBox,Food/Food Tech,$1.53M,Seed,Rainmatter,March 2026,Entrackr,https://entrackr.com/exclusive/exclusive-rainmatter-leads-infinityboxs-pre-series-a-round-11177343,Pre-Series A,[DISCREPANCY] Rs 14.1 Cr ($1.7M); Pre-Series A not Seed
562,Battery Smart,Energy Tech/EVs,$7.4M,Series B,Acacia Inclusion,March 2026,Entrackr,https://entrackr.com/exclusive/exclusive-battery-smart-kicks-off-pre-series-c-funding-round-11176828,Pre-Series C,[DISCREPANCY] $7.4M pre-Series C not Series B
563,LUZO,Retail/Beauty Tech,$250K,Pre-seed,100X.VC,March 2026,Entrepreneur India,https://www.entrepreneur.com/en-in/news-and-trends/luzo-raises-250000-pre-seed-funding/455372,Pre-seed,CORRECTED — real round is $250K pre-seed led by 100X.VC; no separate $109K angel round exists.
564,Peping,Food/Online Grocery,$271K,Seed,Indian Angel Network,March 2026,Indian Retailer,https://www.indianretailer.com/news/funding-alert-peping-bags-rs-25-cr-led-ian-angel-fund,Seed/Angel,
565,Moneyboxx,Financial/Consumer Loans,$3.63M,Post IPO,Caspian Debt,March 2026,Unverified — no corroboration found,,Unverified,[UNVERIFIED] No $3.63M Moneyboxx debt with Caspian found
566,Rimigo,Consumer/Online Travel,$550K,Pre-seed,"Reazon Capital, SGgrow Capital",March 2026,Entrackr,https://entrackr.com/snippets/travel-tech-company-rimigo-raises-550k-in-pre-seed-round-8996856,Pre-seed,"CORRECTED — real round is $550K pre-seed co-led by Reazon Capital + SGgrow, reported April 2025 (source lists it as March 2026 — likely misdated)."
567,Bubble Me,Retail/Beauty Tech,$164K,Seed,ajvc,March 2026,Entrackr,https://entrackr.com/snippets/bubble-me-raises-rs-15-cr-in-pre-seed-round-led-by-ajvc-11171125,Pre-seed,
568,Padhle,EdTech/K-12,Undisclosed,Seed,Filadd,March 2026,Unverified — no corroboration found,,Unverified,
569,Land of Cakes,Food/Beverage,$109K,Angel,Anupam Mittal,March 2026,Outlook Business,https://www.outlookbusiness.com/corporate/pw-school-of-start-ups-alumna-modge-cakes-secures-1-cr-on-shark-tank-season-5,Angel (Shark Tank),
570,Kaar Technologies,Business/ERP Services,$11M,Series B,Playbook Partners,March 2026,Entrackr,https://entrackr.com/news/kaartech-raises-11-mn-led-by-playbook-partners-11187444,Series B,[PARTIAL] $11M from Playbook confirmed; announced March not February
571,Orbit Wallet,FinTech/Payments,$65.6K,Angel,100X.VC,March 2026,Tracxn,https://tracxn.com/d/companies/orbitwallet/___c3PmB1W_l_Ux0das6xOlbzz-87gW7RWRxyBacstoLo,Pre-seed (2024 round; 2026 claim unverified),FLAGGED — only a $269K pre-seed round from June 2024 is documented anywhere. This March 2026 $65.6K entry is unverified; may be a stale/misdated reference to the 2024 round.
572,Turiyam.ai,AI/AGI,$4M,Seed,Ankur Capital,February 2026,Inc42,https://inc42.com/buzz/exclusive-turiyam-ai-raises-4-mn-to-build-full-stack-ai-hardware-platform/,Seed,[DISCREPANCY] $4M from Ankur Capital; announced March not February
573,Bounce Infinity,Energy Tech/EVs,$3.9M,Series F,Accel,February 2026,Not yet checked,,,
574,RAS Luxury Oils,Retail/Beauty Tech,$7.5M,Series B,Dabur,February 2026,Entrackr,https://entrackr.com/snippets/ras-luxury-skincare-raises-75-mn-in-series-b-led-by-dabur-ventures-11171406,Series B,[PARTIAL] $7.5M from Dabur; announced early March not February
575,Inamo,Retail/E-Commerce Enablers,$6M,Series A,Prime Venture Partners,February 2026,Entrackr,https://entrackr.com/news/quick-commerce-enabler-inamo-raises-8-mn-led-by-prime-venture-partners-11167854,Series A,[DISCREPANCY] $8M not $6M; announced March not February
